"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"69","C.J. Beathard (JAC)","2","2","100.0","33","16.5","0","0","0","1","2","0","0","2","1.5","0.8","0.0%"
"70","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","3","9","0","0","3","0.9","0.3","0.1%"
"71","Ryan Fitzpatrick (FA)","3","6","50.0","13","2.2","0","0","1","1","2","0","0","1","0.7","0.7","0.1%"
"72","David Blough (DET)","0","0","0","0","0","0","0","1","1","6","0","0","1","0.6","0.6","0.0%"
"73","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","2","2","0","0","1","0.2","0.2","0.1%"
"74","Kellen Mond (MIN)","2","3","66.7","5","1.7","0","0","0","0","0","0","0","2","0.2","0.1","0.2%"
"75","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Jared Bernhardt (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Chris Oladokun (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Shane Buechele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Jacob Eason (SEA)","2","5","40.0","25","5.0","0","1","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Jarrett Stidham (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"83","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"85","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Jack Coan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"88","Jarrett Guarantano (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"90","K.J. Costello (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Brock Purdy (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Carson Strong (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"93","Sam Howell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"94","E.J. Perry (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Drew Plitt (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Brandon Peters (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"100","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","Dustin Crum (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Anthony Brown (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Matt Corral (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"104","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
