"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Seth Williams","DEN","4.1","50.8","0.3","0.0","0.0","0.0","0.0","11.3"
"Cyril Grayson Jr.","TB","3.9","47.2","0.4","0.0","0.0","0.0","0.0","10.9"
"Stanley Morgan Jr.","CIN","4.5","50.6","0.2","0.0","0.0","0.0","0.0","10.9"
"Nsimba Webster","CHI","3.0","64.2","0.3","0.0","0.0","0.0","0.0","10.9"
"Malik Turner","SF","3.4","51.9","0.3","0.0","0.0","0.0","0.0","10.6"
"Kendall Hinton","DEN","3.8","45.9","0.3","0.0","0.0","0.0","0.0","10.4"
"Bisi Johnson","MIN","4.5","42.8","0.3","0.0","0.0","0.0","0.0","10.4"
"Jake Kumerow","BUF","3.6","44.0","0.3","0.0","0.0","0.0","0.0","10.0"
"Jaelon Darden","TB","3.4","48.1","0.3","0.0","0.0","0.0","0.0","10.0"
"Malik Taylor","GB","3.6","43.2","0.3","0.0","0.0","0.0","0.0","9.9"
"Greg Dortch","ARI","3.7","43.9","0.3","0.0","0.0","0.0","0.0","9.9"
"Marquez Stevenson","BUF","3.6","40.7","0.3","0.0","0.0","0.0","0.0","9.6"
"Trenton Irwin","CIN","3.5","39.8","0.3","0.0","0.0","0.0","0.0","9.4"
"Jalen Nailor","MIN","3.4","39.9","0.3","0.0","0.0","0.0","0.0","9.2"
"Lil'Jordan Humphrey","NE","3.4","42.6","0.3","0.0","0.0","0.0","0.0","9.2"
"Steven Sims Jr.","PIT","3.7","38.8","0.2","0.0","0.0","0.0","0.0","8.9"
"C.J. Board","NYG","2.7","47.0","0.2","0.0","0.0","0.0","0.0","8.9"
"Matthew Slater","NE","1.3","64.6","0.2","0.0","0.0","0.0","0.0","8.8"
"Shi Smith","CAR","3.3","40.7","0.2","0.0","0.0","0.0","0.0","8.6"
"Keelan Doss","NYG","3.6","39.8","0.2","0.0","0.0","0.0","0.0","8.6"
"Dax Milne","WAS","3.3","38.6","0.2","0.0","0.0","0.0","0.0","8.5"
"Collin Johnson","NYG","3.5","39.6","0.2","0.0","0.0","0.0","0.0","8.5"
"David Sills V","NYG","3.5","38.9","0.2","0.0","0.0","0.0","0.0","8.4"
"Devin Funchess","DET","3.0","39.0","0.2","0.0","0.0","0.0","0.0","8.3"
"Dante Pettis","CHI","2.9","40.9","0.2","0.0","0.0","0.0","0.0","8.1"
"Denzel Mims","NYJ","3.0","37.9","0.2","0.0","0.0","0.0","0.0","8.1"
"KeeSean Johnson","SF","3.0","31.0","0.3","0.0","0.0","0.0","0.0","8.1"
"J.J. Arcega-Whiteside","PHI","3.0","35.7","0.2","0.0","0.0","0.0","0.0","8.0"
"Isaiah Coulter","CHI","3.0","38.9","0.2","0.0","0.0","0.0","0.0","7.9"
"Cameron Batson","ATL","3.2","35.2","0.2","0.0","0.0","0.0","0.0","7.8"
"Cody Thompson","SEA","3.2","34.9","0.2","0.0","0.0","0.0","0.0","7.7"
"Trinity Benson","DET","3.0","36.8","0.2","0.0","0.0","0.0","0.0","7.7"
"Jason Moore Jr.","LAC","2.8","34.2","0.3","0.0","0.0","0.0","0.0","7.7"
"Geronimo Allison","ATL","3.1","35.4","0.2","0.0","0.0","0.0","0.0","7.7"
"Scotty Miller","TB","2.5","33.0","0.2","0.0","0.0","0.0","0.0","7.1"
"Andy Isabella","ARI","2.0","34.2","0.2","0.0","0.0","0.0","0.0","6.5"
"Bo Melton","SEA","2.8","32.3","0.1","0.0","0.0","0.0","0.0","6.3"
"Travis Fulgham","DEN","2.1","28.6","0.2","0.0","0.0","0.0","0.0","6.2"
"Easop Winston Jr.","NO","1.6","36.3","0.1","0.0","0.0","0.0","0.0","6.1"
"Brandon Powell","LAR","1.7","29.1","0.2","0.0","0.0","0.0","0.0","5.4"
"Joe Reed","LAC","1.4","28.4","0.1","0.0","0.0","0.0","0.0","4.8"
"Daurice Fountain","KC","1.4","22.6","0.1","0.0","0.0","0.0","0.0","4.4"
"Tre Nixon","NE","1.7","19.2","0.1","0.0","0.0","0.0","0.0","4.4"
"Josh Gordon","KC","1.3","19.6","0.1","0.0","0.0","0.0","0.0","4.1"
"Frank Darby","ATL","1.6","18.0","0.1","0.0","0.0","0.0","0.0","3.9"
"Justin Watson","KC","0.9","10.3","0.1","0.0","0.0","0.0","0.0","2.5"
"Juwan Johnson","NO","1.0","9.3","0.1","0.0","0.0","0.0","0.0","2.3"
"Gunner Olszewski","PIT","0.8","9.3","0.0","0.0","0.0","0.0","0.0","2.0"
"Alex Erickson","WAS","0.2","4.1","0.0","0.0","0.0","0.0","0.0","0.7"
"Slade Bolden","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Hightower","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Vyncint Smith","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin White","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Foster","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Mack","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
