"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"307",13,"Emmanuel Sanders",FA,"WR105","-","-","+70"
"308",13,"Dyami Brown",WAS,"WR106","14","4 out of 5 stars","-"
"309",13,"Kyle Rudolph",TB,"TE35","11","3 out of 5 stars","-58"
"310",13,"Isiah Pacheco",KC,"RB84","8","3 out of 5 stars","-12"
"311",13,"Kyren Williams",LAR,"RB85","7","2 out of 5 stars","-1"
"312",13,"Darrynton Evans",CHI,"RB86","14","5 out of 5 stars","-"
"313",13,"Quintez Cephus",DET,"WR107","6","3 out of 5 stars","+20"
"314",13,"Cole Beasley",FA,"WR108","-","-","+64"
"315",13,"Giovani Bernard",TB,"RB87","11","2 out of 5 stars","+6"
"316",13,"Velus Jones Jr.",CHI,"WR109","14","3 out of 5 stars","+22"
"317",13,"Justin Jackson",DET,"RB88","6","4 out of 5 stars","-"
"318",13,"Devin Duvernay",BAL,"WR110","10","3 out of 5 stars","-34"
"319",13,"Drew Lock",SEA,"QB32","11","3 out of 5 stars","+12"
"320",13,"Salvon Ahmed",MIA,"RB89","11","4 out of 5 stars","-"
"321",13,"Kenny Pickett",PIT,"QB33","9","3 out of 5 stars","-69"
"322",13,"Jimmy Garoppolo",SF,"QB34","9","3 out of 5 stars","-42"
"323",13,"Joshua Kelley",LAC,"RB90","8","2 out of 5 stars","-"
"324",13,"Greg Dulcich",DEN,"TE36","9","3 out of 5 stars","-9"
"325",13,"Duke Johnson Jr.",BUF,"RB91","7","4 out of 5 stars","+35"
"326",13,"Chase McLaughlin",FA,"K27","-","-","-"
"327",13,"Tyler Badie",BAL,"RB92","10","4 out of 5 stars","-31"
"328",13,"Josh Lambo",FA,"K28","-","-","-"
"329",13,"Jared Cook",FA,"TE37","-","-","+64"
"330",13,"Nick Westbrook-Ikhine",TEN,"WR111","6","3 out of 5 stars","+15"
"331",13,"Tyler Conklin",NYJ,"TE38","10","3 out of 5 stars","-32"
"332",13,"David Johnson",FA,"RB93","-","-","+32"
"333",13,"Daniel Bellinger",NYG,"TE39","9","4 out of 5 stars","+4"
"334",13,"Dontrell Hilliard",TEN,"RB94","6","4 out of 5 stars","-69"
"335",13,"Ricky Seals-Jones",NYG,"TE40","9","4 out of 5 stars","+19"
"336",13,"Tevin Coleman",NYJ,"RB95","10","4 out of 5 stars","+60"
"337",13,"Harrison Bryant",CLE,"TE41","9","4 out of 5 stars","-"
"338",13,"Jerome Ford",CLE,"RB96","9","3 out of 5 stars","-"
